排名,名称,类型,话数,放送时间,导演,脚本,声优,评分,评分人数,封面,详情页
67,轻音少女 剧场版,剧场版,1,2011-12-03,山田尚子,吉田玲子,豊崎愛生、日笠陽子、佐藤聡美、寿美菜子、竹達彩奈、藤東知夏、米澤円、真田アサミ、永田依子、夏樹リオ、伊藤実華、中村千絵、中尾衣里、浅川悠、山村響、中村知子、七沢心、永田依子、永田依子、佐藤有世、陰山真寿美、平野妹、北沢力、金谷ヒデユキ、大久保瑠美,8.4,16663,https://lain.bgm.tv/r/400/pic/cover/l/9e/3c/12426_vt490.jpg,https://bangumi.tv/subject/12426
68,攻壳机动队2.0,剧场版,1,2008-07-12,押井守,伊藤和典,田中敦子、大塚明夫、大木民夫、山寺宏一、仲野裕、榊原良子,8.4,2966,https://lain.bgm.tv/r/400/pic/cover/l/ef/18/10291_4dGhK.jpg,https://bangumi.tv/subject/10291
69,英雄联盟：双城之战,WEB,9,2021-11-07,PascalCharrue、ArnaudDelord、JérômeCombe,Ash Brannon,Ella Purnell、聂曦映、刘校妤、上坂すみれ、Hailee Steinfeld、贺文潇、小林ゆう、蔡海婷、张福正、宮崎遊、张遥函、青山穣、Harry Lloyd、罗云熙、钱文青、下川涼、JB Blanc、刘琮、藤井隼、Katie Leung、刘校妤、甲斐田裕子、万茜、李诗萌、季冠霖、松井暁波、Jason Spisak、阿杰、佐藤せつじ、苏尚卿、范丞丞、钱琛、畠中祐、Mick Wingert、李昊甲、花江夏樹、塩田朋子,8.4,12140,https://lain.bgm.tv/r/400/pic/cover/l/cd/dd/335036_e2Kg2.jpg,https://bangumi.tv/subject/335036
70,新・福音战士剧场版：终,剧场版,1,2021-03-08,鶴巻和哉、中山勝一、前田真宏,庵野秀明,緒方恵美、神木隆之介、常蓉珊、杨昕燃、蔣鐵城、宮村優子、李昀晴、叶知秋、坂本真綾、穆宣名、月夜桥、林原めぐみ、阎萌萌、連思宇、山寺宏一、乔木心、林原めぐみ、阎萌萌、立木文彦、图特哈蒙、夏治世、三石琴乃、錢欣郁、季冠霖、山口由里子、张碧玉、石田彰、阿杰、賈文安、清川元夢、叶保华、岩永哲哉、郝祥海、関智一、刘琮、岩男潤子、刘芊含、沢城みゆき、Felecia Angelle、姜英俊、長沢美樹、沈欣如、子安武人、藤新、康秋樂、優希比呂、刘明月、伊瀬茉莉也、贺文潇、勝杏里、瞳音、大塚明夫、林帽帽、大原さやか、阎么么、林原めぐみ、連思宇、阎萌萌、内山昂輝、李轻扬,8.4,14670,https://lain.bgm.tv/r/400/pic/cover/l/04/dc/29883_jQ4Hz.jpg,https://bangumi.tv/subject/29883
71,赛马娘 Pretty Derby 第二季,TV,13,2021-01-04,及川啓,杉浦理史、米内山陽子、池田亮、永井真吾,Machico、大西沙織、沖野晃司、和氣あず未、高野麻里佳、大橋彩香、木村千咲、上田瞳、田所あずさ、前田佳織里、花井美春、田澤茉純、遠野ひかる、のぐちゆり、山根綺、長谷川育美、石見舞菜香、近藤唯、渡部恵子、渡部優衣、矢野妃菜喜、立花日菜、豊口めぐみ、藤井ゆきよ、鬼頭明里、青木瑠璃子、髙橋ミナミ、前田玲奈、衣川里佳、Lynn、土師亜文、新田ひより、松嵜麗、三澤紗千香、和多田美咲、星谷美緒、久保田ひかり,8.4,17706,https://lain.bgm.tv/r/400/pic/cover/l/1c/6b/315574_tLgrT.jpg,https://bangumi.tv/subject/315574
72,孤独摇滚！,TV,12,2022-10-08,斎藤圭一郎,吉田恵里香,青山吉能、邱涵菲、郭雅瑂、鈴代紗弓、楊慧玉、李昀晴、水野朔、馮嘉德、連思宇、長谷川育美、張乃文、林慕青、千本木彩花、郭怡心、間島淳司、高銘孝、末柄里恵、郭怡心、和多田美咲、曾莉婷、小岩井ことり、高銘孝、内田真礼、曾莉婷、小岩井ことり、李涵菲、天城サリー、林慕青、河瀬茉希、李涵菲、三浦勝之、高銘孝、市ノ瀬加那、李涵菲、島袋美由利、林慕青、若林佑、堀総士郎、田中貴子、大塚剛央、永瀬アンナ、橘龍丸、八百屋杏、竹内恵美子、上田燿司、樫井笙人、酒巻光宏、髙坂篤志、阿座上洋平、木暮晃石、山口愛、羊宮妃那、矢野妃菜喜、小原好美、宮本侑芽、河瀬茉希、川井田夏海、星希成奏、天城サリー、安田陸矢、市川太一、大塚剛央、梅田修一朗、小山内怜央、増谷康紀、林鼓子、遠藤璃菜、白砂沙帆、久遠エリサ、後藤ヒロキ、利根健太朗、巽悠衣子、小原好美、千葉繁、星希成奏、小原好美、宮本侑芽、矢野妃菜喜、神尾晋一郎,8.4,40343,https://lain.bgm.tv/r/400/pic/cover/l/e2/e7/328609_2EHLJ.jpg,https://bangumi.tv/subject/328609
73,∀高达,TV,50,1999-04-09,矢立肇、富野由悠季,星山博之、千葉克彦、浅川美也、高橋哲子、高山治郎、大河内一楼、太田愛、富野由悠季,朴璐美、高橋理恵子、高橋理恵子、村田秋乃、青羽剛、稲田徹、小林愛、野島昭生、桐本拓哉、佐藤せつじ、沢木郁也、田中一成、宇垣秀成、石丸博也、堀内賢雄、松本大、長克巳、宇垣秀成、坂口賢一、福山潤、金尾哲夫、鬼頭典子、大塚芳忠、渡辺久美子、土屋トシヒデ、中西裕美子、小山剛志、水野龍司、川津泰彦、高乃麗、立木文彦、冬馬由美、水野龍司、子安武人、石丸博也、夏樹リオ、折笠富美子、五代あつし,8.4,2790,https://lain.bgm.tv/r/400/pic/cover/l/e2/50/3553_FIw4I.jpg,https://bangumi.tv/subject/3553
74,CLANNAD,TV,23,2007-10-04,石原立也,志茂文彦,中村悠一、緒乃冬華、中原麻衣、野中藍、能登麻美子、広橋涼、桑島法子、神田朱未、阪口大助、榎本温子、ゆきのさつき、田村ゆかり、置鮎龍太郎、井上喜久子、緑川光、皆口裕子、青野武、中博史、相沢舞、板東愛、紗川じゅん、川名真知子、斉木美帆、青山穣、安井絵里、山本圭一郎、杉原睦、金子英彦、西前忠久、川上とも子、矢島晶子、岡本嘉子、浜田賢二、藤井啓輔、すずきけいこ、相馬康一、石井一貴、小川一樹、本多陽子、大原崇、立花慎之介、高橋研二、坪井智浩、笹森亜希、佐藤拓也、巻島直樹、モリノリ久、斉藤次郎、安井絵里、川名真知子、嶋村侑、早見沙織、志村由美、武田華、藤村歩、白石稔、木村拓、石上裕一、岡本信彦、加藤将之、石井真、興津和幸、前野智昭、高橋圭一、遠藤大輔、船木真人、鈴木勝美,8.4,28165,https://lain.bgm.tv/r/400/pic/cover/l/28/38/51_z0Ly8.jpg,https://bangumi.tv/subject/51
75,剧场版 链锯人 蕾塞篇,剧场版,1,2025-09-19,吉原達矢,瀬古浩司,戸谷菊之介、井上麻里奈、上田麗奈、井澤詩織、楠木ともり、坂田将吾、ファイルーズあい、高橋花林、津田健次郎、花江夏樹、内田夕夜、内田真礼、喜多村英梨、高橋英則、赤羽根健治、乃村健次,8.4,13234,https://lain.bgm.tv/r/400/pic/cover/l/e0/d8/470660_uLY5M.jpg,https://bangumi.tv/subject/470660
76,强风吹拂,TV,23,2018-10-02,野村和也,喜安浩平,大塚剛央、豊永利行、内山昂輝、入野自由、榎木淳弥、上村祐翔、興津和幸、株元英彰、北沢力、星野貴紀、河西健吾、木村珠莉、日野聡、中村浩太郎,8.4,10664,https://lain.bgm.tv/r/400/pic/cover/l/d0/e0/248154_D8z6D.jpg,https://bangumi.tv/subject/248154
77,幽灵公主,剧场版,1,1997-07-12,宮崎駿,宮崎駿,松田洋治、李勇、谷江山、石田ゆり子、赵丽颖、林芳雪、徐静蕾、林元春、田中裕子、刘芊含、王彬、森繁久彌、高枫、胡立成、西村雅彦、姜先誠、张占坤、島本須美、钟可、劉小芸、美輪明宏、崔幗夫、叶保华、渡辺哲、张璐、石田ゆり子、劉小芸、小林薫、雷威遠、图特哈蒙、上条恒彦、康殿宏,8.4,12421,https://lain.bgm.tv/r/400/pic/cover/l/06/eb/310_C0oq0.jpg,https://bangumi.tv/subject/310
78,攻壳机动队 S.A.C. Solid State Society,TV,1,2006-09-01,神山健治,神山健治、菅正太郎、櫻井大樹,田中敦子、大塚明夫、阪脩、山寺宏一、仲野裕、大川透、小野塚貴志、玉川砂記子、山口太郎,8.4,3876,https://lain.bgm.tv/r/400/pic/cover/l/32/07/320_IyhUt.jpg,https://bangumi.tv/subject/320
79,冰海战记,TV,24,2019-07-07,籔田修平,瀬古浩司、猪原健太,石上静香、上村祐翔、松田健一郎、小野賢章、河瀬茉希、小林千晃、内田直哉、安元洋貴、大塚明夫、竹内良太、浦山迅、日野聡、上田燿司、菅生隆之、斧アツシ、後藤ヒロキ、高橋伸也、古川慎、幸村誠、中務貴幸、中谷一博、長谷川芳明、高橋伸也、浜添伸也、下山吉光、高梁碧、生天目仁美、市来光弘,8.3,13167,https://lain.bgm.tv/r/400/pic/cover/l/31/8f/240386_6Q62q.jpg,https://bangumi.tv/subject/240386
80,风之谷,剧场版,1,1984-03-11,宮崎駿,宮崎駿,島本須美、陳慧嫻、賀世芳、許淑嬪、榊原良子、袁淑珍、杜素真、劉小芸、納谷悟朗、黃霑、孫中台、趙明哲、松田洋治、何志威、符爽、冨永みーな、杜素真、許淑嬪、家弓家正、陳旭昇、李香生,8.3,8925,https://lain.bgm.tv/r/400/pic/cover/l/49/18/295_W0vZv.jpg,https://bangumi.tv/subject/295
81,Code Geass 反叛的鲁路修,TV,25,2006-10-05,谷口悟朗,吉野弘幸、野村祐一、大河内一楼,大原さやか、福山潤、櫻井孝宏、渡辺明乃、ゆかな、小清水亜美、名塚佳織、折笠富美子、大原さやか、倉田雅世、飛田展男、新井里美、杉山紀彰、渡辺明乃、宝亀克寿、成田剣、かないみか、若本規夫、南央美、皆川純子、高田裕司、井上喜久子、千葉紗子、真殿光昭、白鳥哲、草尾毅、冨澤風斗、田中一成、井上倫宏、中田譲治、千葉紗子、島香裕、二又一成、私市淳、梁田清之、幸野善之、加瀬康之、辻親八、加瀬康之、杉山紀彰、蓮池龍三、井上喜久子、小清水亜美、山野井仁,8.3,22208,https://lain.bgm.tv/r/400/pic/cover/l/da/8c/793_3y432.jpg,https://bangumi.tv/subject/793
82,辉夜大小姐想让我告白-超级浪漫-,TV,13,2022-04-08,小俣真一,中西やすひろ、菅原雪絵,古賀葵、古川慎、小原好美、鈴木崚汰、富田美憂、花守ゆみり、麻倉もも、日高里菜、八代拓、市ノ瀬加那、鈴代紗弓、福原遥、行成とあ、高田憂希、朝井彩加、朝日奈丸佳、子安武人、島﨑信長、高野麻里佳、小澤亜李、加隈亜衣、早見沙織、岡野友佑、小野将夢、掛川裕彦、本泉莉奈、村田太志、貫井柚佳、森嶋優花、佐藤晴男、丸山壮史、鈴木愛理、石谷春貴、佐々健太、小林千晃、天﨑滉平、佐藤元、青山穣,8.3,23283,https://lain.bgm.tv/r/400/pic/cover/l/cf/9c/317613_bpGX4.jpg,https://bangumi.tv/subject/317613
83,偶像大师,TV,26,2011-07-07,錦織敦史,錦織敦史、待田堂子、髙橋龍也、土屋理敬、白根秀樹,中村繪里子、長谷川明子、今井麻美、仁後真耶子、浅倉杏美、平田宏美、下田麻美、下田麻美、釘宮理恵、たかはし智秋、原由実、沼倉愛美、若林直美、赤羽根健治、吉田真弓、滝田樹里、大塚芳忠、寺島拓篤、松岡禎丞、神原大地、子安武人、星野充昭、今井麻美、平松晶子、戸松遥、花澤香菜、三瓶由布子,8.3,8695,https://lain.bgm.tv/r/400/pic/cover/l/a8/6a/11577_5U5G1.jpg,https://bangumi.tv/subject/11577
84,Code Geass 反叛的鲁路修R2,TV,25,2008-04-06,谷口悟朗,大河内一楼,大原さやか、福山潤、櫻井孝宏、渡辺明乃、ゆかな、小清水亜美、水島大宙、名塚佳織、折笠富美子、大原さやか、倉田雅世、緑川光、関根信昭、大原さやか、松本大、新井里美、杉山紀彰、渡辺明乃、成田剣、かないみか、若本規夫、松元環季、皆川純子、百々麻子、後藤邑子、高田裕司、井上喜久子、千葉紗子、真殿光昭、白鳥哲、保志総一朗、冨澤風斗、折笠富美子、田中一成、井上倫宏、中田譲治、千葉紗子、島香裕、二又一成、私市淳、幸野善之、加瀬康之、杉山紀彰、山野井仁、麻見順子、本井えみ、佐藤正治、幹本雄之、寺島拓篤、五王四郎、私市淳、倉田雅世、内田聡明、新井里美、後藤邑子、井上喜久子、三戸耕三、大原さやか、後藤邑子、渡辺明乃、加瀬康之、田中伸幸、私市淳、蓮池龍三、杉山紀彰、真殿光昭、宝亀克寿,8.3,18544,https://lain.bgm.tv/r/400/pic/cover/l/c9/f0/8_wK0z3.jpg,https://bangumi.tv/subject/8
85,传说巨神伊迪安 发动篇,剧场版,1,1982-07-10,滝沢敏文,山浦弘靖、富田祐弘、渡辺由自、松崎健一,塩屋翼、田中秀幸、戸田恵子、白石冬美、井上瑤、鵜飼るみ子、石森達幸、麻上洋子、木原正二郎、銀河万丈,8.4,984,https://lain.bgm.tv/r/400/pic/cover/l/3a/d6/23304_ijJx5.jpg,https://bangumi.tv/subject/23304
86,无职转生～到了异世界就拿出真本事～ 第2部分,TV,12,2021-10-03,岡本学,漆原虹平、高山淳史、齊藤浩央、岡本学、中本宗応、近藤成一、理不尽な孫の手,内山夕実、茅野愛衣、加隈亜衣、小原好美、森川智之、Lynn、浪川大輔、杉田智和、若山詩音、豊口めぐみ、高田憂希、会沢紗弥、福島潤、高岡瓶々、津田健次郎、井口裕香、佐藤聡美、小林裕介、田中理恵、大塚芳忠、井澤詩織、伊藤美来、大地葉、上田燿司、鶴岡聡、武虎、朝井彩加、金元寿子、石見舞菜香、逢坂良太、上田麗奈、興津和幸、前川涼子、渡部紗弓、飛田展男、斎藤寛仁、綿貫竜之介、野瀬育二、辻親八、水中雅章、濱野大輝、小市眞琴、村中知、篠原侑、佐藤はな、くじら、児玉卓也、竹内栄治、猪股慧士,8.3,24631,https://lain.bgm.tv/r/400/pic/cover/l/60/4d/325585_tfU01.jpg,https://bangumi.tv/subject/325585
87,3月的狮子,TV,22,2016-10-08,新房昭之,木澤行人、大嶋実句,内山夕実、河西健吾、茅野愛衣、花澤香菜、久野美咲、三瓶由布子、岡本信彦、櫻井孝宏、井上麻里奈、細谷佳正、三木眞一郎、杉田智和、木村昴、千葉繁、大川透、上田燿司、石田彰、玄田哲章、阪口大助、中村悠一、東地宏樹、大塚明夫、岩田光央、岡和男、うえだゆうじ、津田健次郎、喜多田悠、利根健太朗、大福弓子、井上麻里奈、根谷美智子、大地葉、阿澄佳奈、野中藍、阿澄佳奈、井口裕香、野中藍、野中藍、井口裕香、白石涼子、白石涼子、小林ゆう、瀧内泉,8.3,11173,https://lain.bgm.tv/r/400/pic/cover/l/a7/86/147068_60GJJ.jpg,https://bangumi.tv/subject/147068
88,FLCL,OVA,6,2000-04-26,鶴巻和哉,榎戸洋司,新谷真弓、水樹洵、笠木泉、大倉孝二、伊藤実華、宮島章、鈴木和人、福井裕佳梨、松尾スズキ、糸博、千葉千恵巳、庵野秀明,8.3,10276,https://lain.bgm.tv/r/400/pic/cover/l/af/da/822_9y55j.jpg,https://bangumi.tv/subject/822
89,摇曳露营△ 第二季,TV,13,2021-01-07,京極義昭,田中仁、伊藤睦美,花守ゆみり、東山奈央、原紗友里、豊崎愛生、高橋李依、伊藤静、松田利冴、黒沢ともよ、井上麻里奈、山本希望、大畑伸太郎、水橋かおり、櫻井孝宏、大塚明夫、國立幸、藤村忠寿、渕上舞、若林佑、関根明良、川井田夏海、大塚明夫,8.3,12371,https://lain.bgm.tv/r/400/pic/cover/l/0f/50/262897_d3555.jpg,https://bangumi.tv/subject/262897
90,少女与战车 剧场版,剧场版,1,2015-11-21,水島努,吉田玲子,渕上舞、茅野愛衣、尾崎真実、中上育実、井口裕香、竹達彩奈、福圓美里、高橋美佳子、植田佳奈、菊地美香、吉岡麻耶、桐村まり、中村桜、仙台エリ、森谷里美、井上優佳、大橋歩夕、竹内仁美、中里望、小松未可子、多田このみ、山岡ゆり、秋奈、井澤詩織、井澤詩織、井澤詩織、山本希望、石原舞、金元寿子、喜多村英梨、葉山いくみ、倉田雅世、上坂すみれ、喜多村英梨、明坂聡美、石原舞、倉田雅世、高森奈津美、川澄綾子、伊瀬茉莉也、平野綾、吉岡麻耶、早見沙織、大地葉、金元寿子、上坂すみれ、小笠原早紀、佐藤奏美、Jenya、田中理恵、生天目仁美、仙台エリ、葉山いくみ、瀬戸麻沙美、大空直美、米澤円、七瀬亜深、葉山いくみ、石上美帆、多田このみ、井上優佳、大地葉、能登麻美子、下地紫野、石上美帆、中原麻衣、藤村歩、飯田友子、椎名へきる、冬馬由美、倉田雅世、川原慶久、仙台エリ、伊丸岡篤、ゆきのさつき、景浦大輔、飛田展男、山岡ゆり、秋奈、藤村歩、福圓美里、石上美帆、多田このみ、尾崎真実、中上育実、佐藤奏美,8.3,7000,https://lain.bgm.tv/r/400/pic/cover/l/76/f3/72266_p0Nxo.jpg,https://bangumi.tv/subject/72266
91,幸运星,TV,24,2007-04-08,山本寛、武本康弘,待田堂子、山本寛、賀東招二、荒谷朋恵、岡部優子、村元克彦、美水かがみ,平野綾、加藤英美里、福原香織、遠藤綾、今野宏美、白石稔、相沢舞、前田このみ、長谷川静香、茅原実里、水原薫、ささきのぞみ、清水香里、小菅真美、古澤徹、井上喜久子、升望、明坂聡美、平松広和、島本須美、西原さおり、杉田智和、平野綾、茅原実里、後藤邑子、茅原実里、関智一、清水香里、長沢美樹、立木文彦、井上美紀、くじら、こぶしのぶゆき、小杉十郎太、杉田智和、平野綾、岩男潤子、小野大輔、立木文彦、後藤邑子、高口幸子、鹿野優以、茅原実里、立木文彦、立木文彦、渡辺久美子、古原奈々、くじら、立木文彦、中田譲治、小桜エツコ、白石稔、平松広和、くじら、立木文彦、白石稔,8.3,18853,https://lain.bgm.tv/r/400/pic/cover/l/db/8e/276_1Cr5K.jpg,https://bangumi.tv/subject/276
92,进击的巨人 第三季,TV,12,2018-07-22,肥塚正史,小林靖子、瀬古浩司,梶裕貴、石川由依、井上麻里奈、神谷浩史、谷山紀章、嶋村侑、小林ゆう、三上枝織、下野紘、細谷佳正、橋詰知久、藤田咲、Elizabeth Maxwell、小野大輔、朴璐美、津田健次郎、渡辺明乃、杉田智和、子安武人、日笠陽子、千本木彩花、葉山いくみ、山路和弘、屋良有作、遠藤大智、畠中祐、小野賢章,8.3,20760,https://lain.bgm.tv/r/400/pic/cover/l/18/86/217300_WGgTy.jpg,https://bangumi.tv/subject/217300
93,来自深渊 烈日的黄金乡,TV,12,2022-07-06,小島正幸,倉田英之,富田美憂、伊瀬茉莉也、井澤詩織、久野美咲、寺崎裕香、平田広明、斎賀みつき、久野美咲、原奈津子、後藤ヒロキ、市ノ瀬加那、斉藤貴美子、竹内良太、喜多村英梨、村田太志、水瀬いのり、森川智之、石原夏織、美坂朱音、佐々木祐介、田島章寛、村井雄治、丹羽正人,8.3,13559,https://lain.bgm.tv/r/400/pic/cover/l/ae/18/298477_eBaQ8.jpg,https://bangumi.tv/subject/298477
94,数码宝贝大冒险,TV,54,1999-03-07,中鶴勝祥,吉田玲子、大和屋暁、西園悟、吉村元希、まさきひろ、前川淳、浦沢義雄,藤田淑子、魏晶琦、坂本千夏、林凱羚、風間勇刀、魏伯勤、山口眞弓、魏晶琦、水谷優子、楊凱凱、重松花鳥、王瑞芹、天神有海、王瑞芹、櫻井孝宏、魏伯勤、前田愛、王瑞芹、山田きのこ、楊凱凱、菊池正美、于正昇、竹内順子、于正昇、小西寛子、林凱羚、松本美和、楊凱凱、荒木香衣、楊凱凱、徳光由禾、魏晶琦、坂本千夏、木内レイコ、坂本千夏、坂本千夏、坂本千夏、埴岡由紀子、山口眞弓、山口眞弓、魏伯勤、山口眞弓、松本美和、竹内順子、前田愛、重松花鳥、重松花鳥、重松花鳥、櫻井孝宏、櫻井孝宏、櫻井孝宏、櫻井孝宏、山田きのこ、山田きのこ、山田きのこ、竹内順子、竹内順子、竹内順子、松本美和、松本美和、苏强文、松本美和、苏强文、徳光由禾、徳光由禾、徳光由禾、平田広明、八奈見乗児、于正昇、千葉進歩、于正昇、水谷優子、王瑞芹、平田広明、魏伯勤、坂本千夏、楊凱凱、藤田淑子、魏晶琦、菊池正美、魏伯勤、荒木香衣、水谷優子、林凱羚、櫻井孝宏、于正昇、徳光由禾、林凱羚、菊池正美、魏伯勤、櫻井孝宏、平田広明、川津泰彦、中村秀利、菊池正美、梁田清之、于正昇、菊池正美、平田広明、うえだゆうじ、于正昇、菊池正美、高橋広樹、藤本教子、平田広明、江川央生、于正昇、塩沢兼人、竹内順子、伊藤健太郎、櫻井孝宏、家富ヨウジ、くまいもとこ、山口眞弓、竹内順子、于正昇、重松花鳥、櫻井孝宏、山口勝平、相沢まさき、石塚堅、宮田幸季、園部啓一、高戸靖広、木村雅史、金光宣明、竹内順子、櫻井孝宏、平田広明、風間勇刀、菊池正美、増谷康紀、于正昇、園部啓一、平田広明、田の中勇、宇垣秀成、増谷康紀、宮田幸季、大友龍三郎、于正昇、河本浩之、堀川仁、鈴木琢磨、平田広明、竹内順子、山口眞弓、菊池正美、宮田幸季、小西寛子、坂本千夏、水谷優子、松尾銀三、櫻井孝宏、乃村健次、石田彰、于正昇、平田広明、七緒はるひ、田野めぐみ、杉本ゆう、大友龍三郎、小桜エツコ、風間勇刀、江川央生、大塚周夫、于正昇、櫻井孝宏、竹内順子、小桜エツコ、櫻井孝宏、菊池正美、徳光由禾、荒木香衣、前田愛、竹内順子、天神有海、菊池正美、平田広明、藤田淑子、竹内順子、梁田清之、増谷康紀、平田広明、櫻井孝宏、竹内順子、櫻井孝宏、平田広明、櫻井孝宏、平田広明、高橋広樹、永野愛、大塚周夫、平田広明、于正昇,8.3,8501,https://lain.bgm.tv/r/400/pic/cover/l/df/f8/3128_4QNAH.jpg,https://bangumi.tv/subject/3128
95,吹响吧！上低音号,TV,14,2015-04-07,石原立也,花田十輝,黒沢ともよ、朝井彩加、豊田萌絵、安済知佳、寿美菜子、早見沙織、茅原実里、藤村鼓乃美、山岡ゆり、沼倉愛美、久川綾、田所あずさ、七緒はるひ、櫻井孝宏、日笠陽子、石谷春貴、津田健次郎、小堀幸、千菅春香、田所あずさ、日笠陽子、古木のぞみ、河西健吾、日笠陽子、日笠陽子、久川綾、平井祥恵、遠藤ゆりか、野口瑠璃子、橋本ちなみ、石上静香、田所あずさ、相川奈都姫、橋本ちなみ、櫻井孝宏、小堀幸、日笠陽子、日笠陽子、千菅春香、中村太亮,8.3,22169,https://lain.bgm.tv/r/400/pic/cover/l/37/df/115908_c0uQj.jpg,https://bangumi.tv/subject/115908
96,蜡笔小新：大人王国的反击,剧场版,1,2001-04-21,原恵一,原恵一,矢島晶子、曾允凡、蔣篤慧、ならはしみき、呂佩玉、三田ゆう子、藤原啓治、于正昇、魏晶琦、こおろぎさとみ、唐嶷、賀世芳、真柴摩利、賀世芳、真柴摩利、賀世芳、林玉緒、楊凱凱、一龍斎貞友、魏伯勤、佐藤智恵、于正昇、池本小百合,8.3,3151,https://lain.bgm.tv/r/400/pic/cover/l/0c/2b/8986_o00u5.jpg,https://bangumi.tv/subject/8986
97,棋魂,TV,75,2001-10-10,西澤晋、神谷純、えんどうてつや,冨岡淳広、横手美智子、えんどうてつや、大橋志吉,川上とも子、千葉進歩、小林沙苗、津村まこと、藤原啓治、高木礼子、かかずゆみ、津田英三、鈴村健一、伊藤健太郎、浅川悠、櫻井孝宏、伊藤和晃、榎本温子、納谷六朗、鈴木晶子、伊東みやこ、岩田光央、水田わさび、松岡洋子、重松朋、かわむら拓央、渡辺明乃、吉野裕行、櫻井孝宏、清水敏孝、くわはら利晃、斉藤瑞樹、石波義人、山口隆行、高瀬右光、西村知道、西村知道、日野由利加、小野健一、遊佐浩二、高木礼子、坂口賢一、高瀬右光、楠見尚己、樫井笙人、斉藤瑞樹、石住昭彦、かわむら拓央、河相智哉、遊佐浩二、水野龍司、町井美紀、かわむら拓央、北川勝博、石住昭彦、河相智哉、廣田行生、佐久間レイ、くわはら利晃、柳沢栄治、小西克幸、千葉進歩、檜山修之、星野充昭、宝亀克寿、湯屋敦子、楠見尚己、河相智哉、渡辺久美子、藤巻恵理子、中田雅之、くわはら利晃、樫井笙人、斉藤瑞樹、中田雅之、かわむら拓央、石塚理恵、茶風林、斉藤瑞樹、ゆきのさつき、星野充昭、高瀬右光、金丸淳一、水野龍司、塚田正昭、楠見尚己、星野充昭、前田ゆきえ、樫井笙人、西村ちなみ、柳沢栄治、中田雅之、重松朋、石波義人、中澤やよい、くわはら利晃、星野充昭、河相智哉、くわはら利晃、かわむら拓央、伊井篤史、中澤やよい、星野充昭,8.3,5114,https://lain.bgm.tv/r/400/pic/cover/l/c3/61/605_Jg0W8.jpg,https://bangumi.tv/subject/605
98,赛博浪客,WEB,10,2022-09-13,今石洋之,宇佐義大、大塚雅彦、Bartosz Sztybor,KENN、悠木碧、東地宏樹、黒沢ともよ、本田貴子、鷄冠井美智子、高木渉、加瀬康之、井上和彦、御園行洋、日野由利加、津田健次郎、安原義人、小村哲生,8.3,26969,https://lain.bgm.tv/r/400/pic/cover/l/39/83/309311_dJU58.jpg,https://bangumi.tv/subject/309311
99,我的三体 章北海传,WEB,9,2020-01-21,神游八方,刘慈欣,刘若班、贺文潇、刘琮、钱琛,8.3,5644,https://lain.bgm.tv/r/400/pic/cover/l/ae/c8/246001_RmCfM.jpg,https://bangumi.tv/subject/246001
100,昭和元禄落语心中 -助六再临篇-,TV,12,2017-01-06,小俣真一,熊谷純、中西やすひろ、待田堂子、柿原優子,関智一、石田彰、小林ゆう、牛山茂、遊佐浩二、小野友樹、小松未可子、関俊彦、土師孝也、加瀬康之、斎藤恵理、山寺宏一、立川こはる、林原めぐみ,8.3,2725,https://lain.bgm.tv/r/400/pic/cover/l/d2/ab/176615_W4d9D.jpg,https://bangumi.tv/subject/176615
101,水星领航员 The AVVENIRE,OVA,3,2015-09-26,佐藤順一,吉田玲子,葉月絵理乃、水橋かおり、大原さやか、斎藤千和、広橋涼、西村ちなみ、皆川純子、中原麻衣、茅野愛衣、川上とも子、河井英里、松尾佳子、水橋かおり,8.3,1775,https://lain.bgm.tv/r/400/pic/cover/l/10/a1/124341_5oSro.jpg,https://bangumi.tv/subject/124341
102,辉夜大小姐想让我告白 通往大人的阶梯,TV,2,2025-12-31,小俣真一,赤坂アカ（集英社ヤングジャンプコミックス刊）、八尋裕子,古賀葵、古川慎、小原好美、鈴木崚汰、富田美憂、子安武人、鈴代紗弓、花守ゆみり、麻倉もも、八代拓、市ノ瀬加那、山下誠一郎、高野麻里佳、青山穣,8.3,9310,https://lain.bgm.tv/r/400/pic/cover/l/9b/f5/565802_PRfRL.jpg,https://bangumi.tv/subject/565802
103,轻音少女,TV,14,2009-04-02,山田尚子,吉田玲子、村元克彦、花田十輝,豊崎愛生、林美秀、日笠陽子、錢欣郁、佐藤聡美、謝佼娟、寿美菜子、傅其慧、竹達彩奈、雷碧文、真田アサミ、龍顯蕙、米澤円、傅其慧、藤東知夏、龍顯蕙、永田依子、林美秀、夏樹リオ、利根健太朗、前野智昭、立花慎之介、日笠陽子、伊藤実華、雷碧文、金田アキ、庄子裕衣、錢欣郁、中村千絵、雷碧文、中尾衣里、龍顯蕙、仙台エリ、錢欣郁、門田幸子、西墻由香、中村知子、雷碧文、後藤麻衣、北沢力、何志威、ふじたまみ、西明日香、寺本來可、巽悠衣子、嶋村侑、堀口あすか、菊池こころ,8.3,30507,https://lain.bgm.tv/r/400/pic/cover/l/48/9d/1424_q8FMQ.jpg,https://bangumi.tv/subject/1424
