排名,名称,类型,话数,放送时间,导演,脚本,声优,评分,评分人数,封面,详情页
678,末日时在做什么？有没有空？可以来拯救吗？,TV,12,2017-04-11,和田純一,枯野瑛、望月真里子、永井真吾、根元歳三,新井良平、喬資淯、田所あずさ、林筱玲、Machico、楊詩穎、上原あかり、陳貞伃、荒浪和沙、楊詩穎、水瀬いのり、陳貞伃、水間友美、楊詩穎、久保ユリカ、陳貞伃、石見舞菜香、林筱玲、木野日菜、林筱玲、小日向茜、井上喜久子、楊詩穎、千葉繁、馬伯強、小杉十郎太、馬伯強、佐藤聡美、林筱玲、井上ほの花、陳貞伃、佐藤利奈、陳貞伃、田村睦心、麦人、楊詩穎、馬伯強、岡田日花里、岩河拓吾,7.6,13742,https://lain.bgm.tv/r/400/pic/cover/l/a0/5f/185943_VDh22.jpg,https://bangumi.tv/subject/185943
679,哆啦A梦回来了,剧场版,1,1998-03-07,渡辺歩,城山昇,大山のぶ代、小原乃梨子、よこざわけい子,7.7,279,https://lain.bgm.tv/r/400/pic/cover/l/ed/c0/103718_IBy6B.jpg,https://bangumi.tv/subject/103718
680,来玩游戏吧,TV,12,2018-07-08,岸誠二,柿原優子,木野日菜、長江里加、小原好美、置鮎龍太郎、前川涼子、井上ほの花、戸田めぐみ、金澤まい、千菅春香、増谷康紀、斎賀みつき、前川涼子、筆村栄心、金澤まい、悠木碧、石川界人、森川智之、内田秀、島田敏、石川界人、金澤まい、関根明良、戸田めぐみ、岩田光央、伊沢磨紀,7.6,6211,https://lain.bgm.tv/r/400/pic/cover/l/fb/c2/236020_6wt6b.jpg,https://bangumi.tv/subject/236020
681,幻想嘉年华,OVA,12,2011-08-14,岸誠二,上江洲誠,柚木涼香、川澄綾子、小林由美子、野島健児、杉山紀彰、佐久間紅美、植田佳奈、ひと美、下屋則子、松来未祐、高野直子、伊藤美紀、門脇舞以、柚木涼香、中田譲治、佐久間紅美、田中敦子、南央美、夏樹リオ、渡辺明乃、戸松遥、倖月美和、諏訪部順一、神奈延年、浅川悠、田中敦子、西前忠久、三木眞一郎、関智一、中田譲治、七緒はるひ、宮川美保、野島健児、神谷浩史、中田和宏、真殿光昭、下屋則子、柚木涼香、植田佳奈、小清水亜美、高野直子、川澄綾子、中田譲治、川澄綾子、丹下桜、遠藤綾、花澤香菜,7.6,8451,https://lain.bgm.tv/r/400/pic/cover/l/38/0c/18882_XqC8o.jpg,https://bangumi.tv/subject/18882
682,妄想学生会＊,TV,13,2014-01-04,金澤洪充,金澤洪充,浅沼晋太郎、日笠陽子、佐藤聡美、矢作紗友里、下田麻美、小林ゆう、小見川千明、新井里美、加藤英美里、田村睦心、斎藤千和、日野未歩、椎名へきる、平野文、斎藤千和、安済知佳、松来未祐,7.6,8327,https://lain.bgm.tv/r/400/pic/cover/l/93/55/85204_oK33O.jpg,https://bangumi.tv/subject/85204
683,银河英雄传说 Die Neue These 激突 第2章,剧场版,4,2022-04-01,多田俊介,谷村大四郎、吉永亜矢、根元歳三,宮野真守、鈴村健一、梶裕貴、諏訪部順一、小野大輔、中村悠一、花澤香菜、安元洋貴、大場真人、上村祐翔、千葉一伸、菅原雅芳、小谷津央典、大隈健太、屋良有作、真殿光昭、逢坂良太、川島得愛、遠藤綾、三木眞一郎、大塚芳忠、岩崎征実、阪口周平、奈良徹、安斉一博、志村知幸、武虎、佐藤正治、朝倉栄介、美波わかな、富樫美鈴、手塚秀彰、野島健児、遊佐浩二、園崎未恵、下山吉光,7.6,679,https://lain.bgm.tv/r/400/pic/cover/l/be/a3/361384_xV5mv.jpg,https://bangumi.tv/subject/361384
684,变形金刚 领袖之证,TV,65,2010-11-26,JoséLópez、AugustoBarranco、WalterGatus、AratoKato,,Steven Blum、蒋可、鶴岡聡、飛田展男、Dwayne Johnson、杉山紀彰、泰勇気、三宅健太、Frank Welker、Nolan North、蒋可、興津和幸,7.7,508,https://lain.bgm.tv/r/400/pic/cover/l/8e/4e/38307_9zDT6.jpg,https://bangumi.tv/subject/18268
685,希尔达 第一季,WEB,13,2018-09-21,AndyCoyle,,,7.7,200,https://lain.bgm.tv/r/400/pic/cover/l/5b/93/261806_yDiY0.jpg,https://bangumi.tv/subject/261806
686,城市猎人,TV,51,1987-04-06,こだま兼嗣,星山博之、吉川惣司、井上敏樹、日暮裕一、遠藤明範、平野靖士、武上純希,神谷明、伊倉一恵、玄田哲章、麻上洋子、田中秀幸、鷹森淑乃、冨永みーな、日髙のり子,7.6,748,https://lain.bgm.tv/r/400/pic/cover/l/5d/fd/10391_yB7VR.jpg,https://bangumi.tv/subject/10391
687,宝石之国,TV,12,2017-10-07,京極尚彦,大野敏哉、筆安一幸、井上美緒,黒沢ともよ、陳貞伃、小松未可子、張乃文、茅野愛衣、楊詩穎、佐倉綾音、張乃文、田村睦心、李昀晴、早見沙織、連思宇、内山夕実、連思宇、高垣彩陽、張乃文、内田真礼、連思宇、伊藤かな恵、楊詩穎、小澤亜李、楊詩穎、種﨑敦美、連思宇、茜屋日海夏、楊詩穎、広橋涼、陳貞伃、皆川純子、李昀晴、能登麻美子、楊詩穎、釘宮理恵、楊詩穎、中田譲治、林谷珍、生天目仁美、張乃文、桑島法子、張乃文、原田彩楓、楊詩穎、上田麗奈、連思宇、斎藤千和、連思宇、三瓶由布子、B.L.、伊瀬茉莉也、汪世瑋、朴璐美、錢欣郁、M・A・O、連思宇,7.6,11692,https://lain.bgm.tv/r/400/pic/cover/l/2f/07/214799_tGQ11.jpg,https://bangumi.tv/subject/214799
